Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame;Position X Reference Frame;Position Y Reference Frame;Position Z Reference Frame;Velocity Angle X Reference Frame;Velocity Angle Y Reference Frame;Velocity Angle Z Reference Frame
1wt_B1Skin;6;-12,89;13,77;-3,71;23,57;105,5;-46,24;147;120,11;77,76
1wt_B2EON;6;5,29;8,14;-8,68;36,01;125,59;-72,99;20,45;79,74;107,49
1wt_B2Skin;6;-7,42;18,65;-9,41;53,87;116,36;-69,51;29,28;88,42;119,23
1wt_C1EON;6;1,2;24,6;-13,33;-55,02;66,63;-88,92;58,98;112,88;139,8
1wt_C1Skin;6;-9,81;10,4;-6,29;-24,81;31,63;-38,76;27,29;103,41;113,3
1wt_C2EON;6;-5,86;16,65;-11,03;-49,77;83,16;-78,87;130,77;42,09;98,72
1wt_C2Skin;6;-10,38;10,03;-10,35;-42,89;57,42;-55,22;108,46;44,69;128,9
1wt_D1EON;6;5,05;9,95;-2,76;45,39;52,75;-50,09;70,31;156,53;102,28
1wt_D1Skin;6;-8,11;10,51;2,91;44,38;43,5;-38,86;134,13;85,38;44,5
1wt_D2EON;6;1,07;14,03;0,39;55,15;63,36;-61,19;52,66;52,61;59,13
1wt_D2Skin;6;-1,13;10,63;-0,13;95,57;64,9;-72,96;41,11;113,65;121,41
1wt_E1EON;6;-8,93;15,07;-2,35;-23,26;-24,66;-59,2;111,11;22,17;96,49
1wt_E1Skin;6;-9,52;18,09;-4;-50,94;-17,69;-71,46;117,12;66,37;142,63
1wt_E2EON;6;-6,6;29,13;5,33;-36,23;-1,97;-60,64;38,9;51,64;84,55
1wt_E2Skin;6;-13,5;16,35;-8,1;-66,55;-1,87;-80,7;102,15;19,84;105,44
1wt_F1EON;6;4,52;13,6;2,01;54,9;0,16;-60,68;62,89;27,16;88,53
1wt_F1Skin;6;-7,16;12,81;8,92;50,78;-2,58;-50,98;127,02;40,99;74,9
1wt_F2EON;6;4,87;13,35;2,08;73,71;25,25;-63;55,47;69,11;137,96
1wt_F2Skin;6;-0,34;7,83;3,87;61,04;14,54;-50,06;86,26;171,54;97,58
1wt_A1EON;7;1,59;16,86;-13,84;-21,34;141,43;-93,61;29,11;117,07;80,09
1wt_A1Skin;7;-18,85;22,57;-29,89;-70,57;129,89;-103,38;61,37;133,74;57,26
1wt_A2EON;7;-13,21;-3,75;-6,04;-27,75;109,11;-66,55;13,16;98,61;80,13
1wt_A2Skin;7;-15,47;22,63;-26,4;-96,38;108,33;-112,65;114,12;155,39;85,36
1wt_B1EON;7;3,46;16,23;-9,45;39,98;136,25;-86,08;41,93;64,75;120,95
1wt_B1Skin;7;-10,46;13,52;-4,4;26;105,26;-46,93;158,84;97,98;70,54
1wt_B2EON;7;9,23;6,62;-7,93;39,96;124,08;-72,25;30,7;118,06;101,45
1wt_B2Skin;7;-6,08;18,94;-9,95;55,2;116,65;-70,05;26,79;112,69;103,49
1wt_C1EON;7;2,12;24,31;-16,2;-54,1;66,35;-91,79;141,01;117,05;64,21
1wt_C1Skin;7;-9,52;10,85;-6,45;-24,53;32,09;-38,92;130,96;74,41;134,9
1wt_C2EON;7;-7,05;16,6;-11,23;-50,96;83,11;-79,07;102,36;13,45;95,23
1wt_C2Skin;7;-11,37;11,13;-11,97;-43,88;58,52;-56,83;102,88;46,74;133,9
1wt_D1EON;7;5,4;6,87;-2,52;45,74;49,67;-49,86;63,15;117,24;139,99
1wt_D1Skin;7;-6,95;10,48;2,33;45,54;43,47;-39,44;27,37;93;117,18
1wt_D2EON;7;2,57;17,06;0,47;56,65;66,39;-61,12;54,73;56,46;53,06
1wt_D2Skin;7;1,47;9,85;-2,21;98,17;64,13;-75,05;40,44;100,43;128,54
1wt_E1EON;7;-9,92;18,6;-2,72;-24,25;-21,13;-59,57;119,41;30,55;97,54
1wt_E1Skin;7;-10,61;19,24;-5,49;-52,03;-16,53;-72,94;130,28;56,95;122,24
1wt_E2EON;7;-5,24;30,77;5,46;-34,87;-0,34;-60,51;92,54;15,09;75,13
1wt_E2Skin;7;-14,22;17,53;-8,56;-67,27;-0,69;-81,15;127,66;43,27;108,11
1wt_F1EON;7;5,29;20,17;1,76;55,67;6,73;-60,92;100,27;11,4;94,91
1wt_F1Skin;7;-7,02;13,51;8,74;50,93;-1,88;-51,16;73,04;38,5;56,64
1wt_F2EON;7;4,14;16,34;1,79;72,98;28,23;-63,29;62,31;27,75;88,43
1wt_F2Skin;7;-1,16;5,59;4,16;60,22;12,3;-49,77;71,27;146,69;116,47
1wt_A1EON;8;2,54;15,55;-13,61;-20,38;140,13;-93,37;57,49;146,31;82,11
1wt_A1Skin;8;-18,32;20,69;-28,6;-70,04;128;-102,1;36,23;116,14;66,8
1wt_A2EON;8;-13,29;-2,73;-6,11;-27,83;110,13;-66,62;89,33;176,57;86,64
1wt_A2Skin;8;-16,79;21,06;-26,16;-97,7;106,76;-112,41;99,71;160,74;73,53
1wt_B1EON;8;6,74;17,99;-9;43,26;138,01;-85,63;44,61;47,19;100,2
1wt_B1Skin;8;-24,36;12,06;0,39;12,09;103,8;-42,14;163,04;97,76;75,01
1wt_B2EON;8;14,71;2,98;-10,85;45,44;120,44;-75,17;66,51;53,72;134,49
1wt_B2Skin;8;-5,21;17,69;-9,98;56,08;115,4;-70,08;49,74;98,01;138,62
1wt_C1EON;8;-1,71;22,89;-11,7;-57,93;64,93;-87,29;107,74;110,84;27,92
1wt_C1Skin;8;-10,59;10,72;-7,13;-25,59;31,95;-39,6;130,39;56,54;121,71
1wt_C2EON;8;-6,3;18,65;-11,22;-50,21;85,16;-79,06;70,01;20;89,78
1wt_C2Skin;8;-10,99;11,91;-12,25;-43,5;59,3;-57,12;82,95;16,37;104,7
1wt_D1EON;8;7,68;7,28;-7,22;48,02;50,08;-54,56;47,1;109,43;130,75
1wt_D1Skin;8;-5,79;10,37;1,72;46,7;43,36;-40,06;39,21;110,32;121,89
1wt_D2EON;8;4,34;17,16;3,8;58,42;66,49;-57,79;67,68;82,22;23,78
1wt_D2Skin;8;2,74;9,71;-3,29;99,43;63,98;-76,13;47,24;118,7;123,75
1wt_E1EON;8;-11,27;19,18;-2,98;-25,6;-20,56;-59,83;102,44;13,53;95,24
1wt_E1Skin;8;-10,8;19,17;-5,06;-52,22;-16,61;-72,51;102,36;137,38;129,98
1wt_E2EON;8;-6,74;32,2;6,14;-36,37;1,09;-59,83;116,42;26,47;88,32
1wt_E2Skin;8;-14,82;17,93;-8,77;-67,87;-0,3;-81,37;118,8;112,11;142,32
1wt_F1EON;8;2,89;22,56;1,22;53,27;9,11;-61,46;112,15;23,22;96,63
1wt_F1Skin;8;-6,78;13,83;9,64;51,16;-1,56;-50,26;48,4;44,15;77,86
1wt_F2EON;8;5,57;14,7;2,12;74,42;26,6;-62,96;53,44;123,35;125,85
1wt_F2Skin;8;0,87;4,67;2,19;62,25;11,38;-51,75;62,36;122,91;134,41
1wt_A1EON;9;3,71;13,57;-13,3;-19,21;138,15;-93,06;20,69;107,91;79,98
1wt_A1Skin;9;-17,95;22,08;-29,45;-69,67;129,4;-102,94;7,98;90,48;97,97
1wt_A2EON;9;-13,19;-5,78;-5,92;-27,73;107,08;-66,43;68,61;157,54;83,48
1wt_A2Skin;9;-15,92;20,12;-25,64;-96,83;105,82;-111,89;54,81;141,47;76,3
1wt_B1EON;9;9,06;21,57;-10,84;45,57;141,59;-87,47;45,54;46,36;100,48
1wt_B1Skin;9;-26;11,32;-0,2;10,45;103,06;-42,72;140,02;118,28;115,73
1wt_B2EON;9;12,53;11,52;-13,73;43,25;128,97;-78,04;88,25;25,25;115,18
1wt_B2Skin;9;-4,21;18,53;-12,13;57,08;116,25;-72,23;38,23;88,07;128,16
1wt_C1EON;9;-0,23;21,56;-9,35;-56,46;63,59;-84,95;34,09;117,38;71,3
1wt_C1Skin;9;-11,81;12,8;-8,31;-26,82;34,03;-40,78;101,1;29,16;116,59
1wt_C2EON;9;-6,3;18,65;-11,22;-50,21;85,16;-79,06;58,95;59,89;133,99
1wt_C2Skin;9;-10,84;15,31;-13,07;-43,35;62,7;-57,94;89,65;16,6;106,6
1wt_D1EON;9;9,78;4,73;-6,72;50,12;47,53;-54,06;74,26;163,2;84,27
1wt_D1Skin;9;-5,04;9,63;1,03;47,45;42,62;-40,74;109,86;142,3;120,58
1wt_D2EON;9;3,91;17,54;3,7;57,99;66,87;-57,89;33,25;57,5;83,72
1wt_D2Skin;9;5,23;7,19;-5,29;101,93;61,46;-78,13;56,47;133,1;118,54
1wt_E1EON;9;-11,12;24,03;-3,23;-25,45;-15,7;-60,08;99,94;16,95;76,42
1wt_E1Skin;9;-10,81;18,54;-6,1;-52,23;-17,23;-73,55;99,75;114,39;153,51
1wt_E2EON;9;-8,15;36,62;5,65;-37,78;5,52;-60,32;100,41;11,54;94,93
1wt_E2Skin;9;-14,88;17,02;-9,63;-67,93;-1,2;-82,23;127,58;98,75;141,06
1wt_F1EON;9;2,35;27,34;0,86;52,73;13,9;-61,82;73,69;16,32;90,44
1wt_F1Skin;9;-5,48;15,17;9,23;52,47;-0,23;-50,67;37,64;55,89;103,98
1wt_F2EON;9;8,34;12,46;-2,35;77,18;24,35;-67,43;64,74;128,15;131,34
1wt_F2Skin;9;4,41;-0,93;-4,24;65,79;5,78;-58,17;67,04;133,73;127,47
1wt_A1EON;10;5,02;14,74;-13,14;-17,91;139,31;-92,91;63,05;26,99;88,56
1wt_A1Skin;10;-16,99;20,68;-28,79;-68,71;127,99;-102,28;77,07;133,26;46,13
1wt_A2EON;10;-12,17;-5,55;-5,77;-26,71;107,31;-66,27;28,83;62,16;83,11
1wt_A2Skin;10;-15,82;19,75;-25,76;-96,73;105,45;-112,01;97,63;156,59;68
1wt_B1EON;10;12,2;23,36;-10,41;48,71;143,38;-87,05;55,72;144,52;81,92
1wt_B1Skin;10;-25,59;11,3;-0,31;10,86;103,03;-42,84;74,71;153,13;68,47
1wt_B2EON;10;14,88;7,81;-13,12;45,6;125,26;-77,44;57,06;135,77;115,92
1wt_B2Skin;10;-3,19;17,78;-11,57;58,09;115,49;-71,67;86,22;129,85;40,1
1wt_C1EON;10;3,67;19,91;-9,62;-52,56;61,94;-85,21;22,52;112,28;93,1
1wt_C1Skin;10;-11,24;13,65;-8,63;-26,24;34,88;-41,1;102,85;19,14;103,95
1wt_C2EON;10;-4,92;20;-13,08;-48,83;86,51;-80,93;110;160,01;90,22
1wt_C2Skin;10;-10,96;16,21;-13,54;-43,47;63,6;-58,4;147,37;57,48;92,4
1wt_D1EON;10;8,6;4,04;-6,88;48,94;46,84;-54,22;94;94,92;6,35
1wt_D1Skin;10;-6,25;9,3;1,03;46,24;42,29;-40,75;130,89;137,1;79,23
1wt_D2EON;10;5,23;17,73;3,91;59,31;67,06;-57,68;30,22;118,25;80,12
1wt_D2Skin;10;6,41;5,17;-6,47;103,11;59,44;-79,31;56,94;136,75;114,5
1wt_E1EON;10;-12,91;28,3;-0,74;-27,25;-11,44;-57,59;112,86;24,73;81,08
1wt_E1Skin;10;-11,15;18,32;-6,9;-52,57;-17,45;-74,35;119,03;118,26;42,68
1wt_E2EON;10;-7,77;37,75;5,65;-37,4;6,65;-60,32;96,58;7,89;94,33
1wt_E2Skin;10;-16,48;17,51;-10,88;-69,53;-0,71;-83,48;154,82;72,54;107,56
1wt_F1EON;10;4,4;27,71;1,18;54,78;14,27;-61,5;23,87;67,49;82,46
1wt_F1Skin;10;-4,18;15,68;8,84;53,77;0,28;-51,06;97,7;146,42;57,54
1wt_F2EON;10;8,39;10,63;-2,24;77,23;22,52;-67,31;71,08;18,92;89,97
1wt_F2Skin;10;4,94;-2,54;-4,16;66,32;4,17;-58,09;103,8;155,55;70,22
1wt_A1EON;11;5,39;16,87;-13,2;-17,53;141,45;-92,97;88,95;3,25;93,08
1wt_A1Skin;11;-17,49;20,69;-28,04;-69,21;128;-101,53;138,14;122,94;67,24
1wt_A2EON;11;-12,29;-5,29;-5,8;-26,83;107,56;-66,31;112,15;23,22;96,63
1wt_A2Skin;11;-16,1;18,9;-25,14;-97,01;104,6;-111,4;111,37;150,66;70,87
1wt_B1EON;11;10,58;19,37;-10,46;47,09;139,39;-87,09;16,43;76,01;81,56
1wt_B1Skin;11;-25,22;8,68;0,89;11,23;100,42;-41,64;57,59;145,74;80,09
1wt_B2EON;11;15,43;7,7;-16,06;46,15;125,15;-80,37;67,04;103,5;152,96
1wt_B2Skin;11;-4,01;16,63;-9,85;57,27;114,34;-69,95;89,15;143,51;53,53
1wt_C1EON;11;3,83;19,89;-9,59;-52,4;61,93;-85,18;90,87;3,51;93,4
1wt_C1Skin;11;-12,13;14,15;-8,66;-27,13;35,38;-41,13;154,76;74,07;109,05
1wt_C2EON;11;-6,48;18,15;-11,22;-50,39;84,66;-79,06;121,04;120,07;45,96
1wt_C2Skin;11;-12,04;16,08;-13,13;-44,55;63,47;-58;147,08;118,16;74,35
1wt_D1EON;11;9,5;4,38;-2,7;49,84;47,18;-50,04;89,85;73,48;16,52
1wt_D1Skin;11;-5,36;9,27;1,12;47,13;42,26;-40,65;20,68;107,36;100,89
1wt_D2EON;11;5,92;16,44;4,1;59,99;65,77;-57,49;116,99;152,97;91,45
